x,y
189602.82502260423,553766.4470613482
189605.0464071732,553768.4458335193
189607.26779271124,553770.4446052699
189609.48917777004,553772.4433775098
189611.71056332145,553774.4421493369
189612.8434641991,553775.4369981956
189613.97636507679,553776.4318470572
189615.54695139104,553777.811046409
189605.53128156014,553764.6037335668
189606.64347534822,553765.6100414718
189607.75566913155,553766.6163493937
189609.58580448985,553768.2574556324
189611.36337826127,553769.8514292283
189613.56664286804,553771.7984880799
189614.85074903816,553772.9332728783
189616.13485520513,553774.0680576928
189617.67125278755,553775.4257959601
189600.0697012415,553768.3097411804
189602.3044436555,553770.2988785121
189604.53918656503,553772.2880151868
189606.7739290024,553774.2771518847
189609.00867191434,553776.2662891025
189611.24341482832,553778.2554263683
189613.38658482538,553780.1630549812
189722.49991063352,553880.1362414312
189724.70295317948,553882.162004163
189726.9029087416,553884.1853797322
189729.10008351094,553886.2084037785
189731.2685965109,553888.2050405332
189733.4726590736,553890.2259130403
189734.5807509065,553891.236871398
189735.68884273662,553892.2478297628
189737.90322629717,553894.2643160411
189739.0130067942,553895.2740415627
189740.12278729066,553896.2837670963
189741.23216848384,553897.2933212165
189742.34154967655,553898.3028753459
189744.557348859,553900.3162928527
189745.77992260028,553901.4258137797
189748.0016473549,553903.4390332928
189749.03197919377,553904.3726917522
189724.71381580803,553877.7634532729
189726.89252142474,553879.7698799121
189728.7249753237,553881.4572630924
189729.82771227855,553882.4740350252
189730.93044923266,553883.4908069723
189733.13486698287,553885.5191070151
189734.23900144376,553886.534378093
189735.34313590618,553887.5496491722
189737.55163649382,553889.559230597
189738.71687905604,553890.6184726544
189739.82837530438,553891.6257831522
189740.93987155237,553892.6330936607
189743.1531141918,553894.6398640063
189744.87686999992,553896.2030504848
189745.9874096105,553897.2113813068
189747.0979492207,553898.2197121345
189749.3129641914,553900.2241199542
189751.2043392975,553901.9340941699
189726.9002663182,553875.3935280847
189728.01831334946,553876.4236435066
189729.13636037937,553877.4537589299
189731.33612159922,553879.479725052
189733.54224680198,553881.5057094585
189733.62638265474,553881.5829751007
189735.828831607,553883.5973636243
189737.91473784382,553885.5020075227
189739.02526751,553886.5103135507
189740.13579717578,553887.5186195881
189741.24632355006,553888.526922757
189742.3568499262,553889.5352259353
189744.57509150088,553891.5466729252
189745.68733694527,553892.5531325341
189746.7995823938,553893.5595921536
189749.02011764018,553895.5678982214
189750.11441143148,553896.5565571894
189752.3414708913,553898.5630012918
189753.38288454316,553899.5012640351
189729.07155370203,553872.9666427018
189731.27508774644,553874.9926648294
189733.27749271816,553876.8290841945
189735.47771584903,553878.8364561241
189737.05391591505,553880.2697149887
189739.2701307563,553882.2781746542
189741.4976876169,553884.2863870782
189742.6121088566,553885.2905192287
189743.7265300983,553886.2946513749
189744.8416370649,553887.301029082
189745.9567440305,553888.3074067935
189748.1825883731,553890.3110105917
