x,y
190387.87241743814,553267.9014183653
190385.99362106828,553265.5864678951
190384.11482656142,553263.271519418
190382.2360282362,553260.9565708892
190381.77322549067,553260.3863303754
190380.35723189317,553258.6416186333
190382.04909023872,553255.9666777226
190380.16262602666,553253.6423049716
190378.27616943352,553251.317932421
190376.3897052087,553248.9935597436
190376.3897052087,553248.9935597436
190374.57206612627,553246.7539813457
190371.288976435,553247.4614508497
190370.32169174094,553246.2628528686
190368.44265582634,553243.9340804857
190366.56362316993,553241.6053114227
190366.20978240832,553241.1667805103
190364.3267617592,553238.8476171619
190362.4471228658,553236.5321148782
190360.56748362049,553234.2166121575
190358.03616140888,553236.0301666275
190356.43210658073,553234.0783116659
190356.14249720954,553233.7259079368
190354.96641550388,553232.3125657508
190353.23901018497,553230.2712456818
190351.51160485955,553228.2299256278
190349.7841995299,553226.1886056198
190348.05679419375,553224.1472856344
190344.66366266913,553220.893743887
190341.12151021155,553218.6321869858
190337.2511128712,553217.0256274528
190335.2571418084,553216.4684030439
190333.0763694895,553216.3820981089
190326.18172563112,553218.9894832066
190323.91699734644,553220.6652985888
190321.65226907408,553222.3411139369
190319.46085581018,553223.9423180029
190317.12281255284,553225.692744534
190314.73412946644,553227.4867428079
190314.73412946644,553227.4867428079
190312.34408030353,553229.2765463839
190310.06537339778,553226.725183855
190308.17193508547,553228.1350397083
190305.77646636422,553229.9140217187
190303.38144244408,553231.6925679415
190300.98644035013,553233.4710947033
190297.96854661594,553235.7121720935
190296.19643049611,553237.0281463295
190293.80141730412,553238.8066729002
190291.40642024268,553240.5851888928
190289.01141143238,553242.3637198618
190286.92634892018,553243.91134677
190284.51601397648,553245.699789913
190282.10568293353,553247.4882292701
190279.69535183936,553249.2766714587
190277.28501879037,553251.0651164192
190273.62842243383,553253.7778176111
190271.2176440758,553255.5656769262
190268.8386233216,553261.5570316924
190265.0692815212,553264.3555640071
190262.6759054918,553266.1331593143
190257.8891545242,553269.6883450758
190255.49577951347,553271.4659388671
190250.7090285943,553275.0211253543
190246.42835971364,553278.200435601
190241.60656557966,553281.7678098876
190236.78477195828,553285.3351816863
190231.84445242412,553288.9937523876
190227.03454423553,553292.5593464583
190222.22464097512,553296.1249347373
190216.7509667433,553300.1821663909
190211.9600106362,553303.7328938685
190207.16905281885,553307.2836135364
190199.98261981958,553312.6097014111
190194.14747293026,553316.9325871428
190188.12021162335,553321.396704542
190180.87989869522,553326.7527025584
190174.8457733579,553331.2075159482
190167.0202518007,553336.9823407424
190159.78135678996,553342.3228261524
190152.5474479144,553347.6652993547
190144.20055955657,553353.8375098972
190136.00345296998,553359.9314890357
