x,y
190534.4757863851,553061.5921724297
190504.17722765857,553083.4360729095
190494.7152326428,553090.3279238865
190485.33074988535,553096.8954279552
190478.2633208985,553101.9426855136
190459.5664025683,553119.7812156931
190454.75269536136,553123.3657228276
190450.742038892,553126.3486480641
190446.45581384035,553129.5336194066
190442.69789095846,553132.3163648626
190438.28210305277,553135.5649197529
190435.88212601145,553137.3300094946
190433.47691108813,553139.1030765224
190428.66648199037,553142.6492104814
190426.26126551031,553144.4222795144
190422.56845964756,553147.1470636213
190418.53335680751,553150.1281383093
190416.11226448682,553151.9014184339
190411.29753260416,553155.4599836136
190403.45373957846,553161.2654372755
190401.0582676315,553163.0434121622
190396.65258423908,553166.3134113532
190394.02136543102,553168.2685060657
190391.4694140928,553170.1531067084
190389.0719609478,553171.9284745393
190385.83797083132,553174.3233165732
190383.44265136166,553176.0989621456
190378.65201163347,553179.6502539201
190373.41400283528,553183.6343677073
190366.93432107073,553188.7412587339
190328.81302891477,553216.9406115483
190319.46085581018,553223.9423180029
190303.78428713782,553235.6284712114
190298.96464889476,553239.2044894556
190294.14411286078,553242.7811743768
190290.52904227693,553245.4634415837
190288.11899525244,553247.2516190485
190285.70894056573,553249.039798202
190284.5039209569,553249.9338831627
190282.0938778281,553251.7220577444
190278.47881117903,553254.4043228498
190276.06876221704,553256.1925038866
190272.45369372156,553258.8747678535
190268.8386233216,553261.5570316924
190260.28252955608,553267.9107507775
190257.8891545242,553269.6883450758
190253.10240360536,553273.2435306893
190250.7090285943,553275.0211253543
190246.42835971364,553278.200435601
190241.60656557966,553281.7678098876
190239.19566781094,553283.551495781
190234.3738756097,553287.1188689568
190231.84445242412,553288.9937523876
190227.03454423553,553292.5593464583
190224.6295926624,553294.3421377529
190219.81968354186,553297.9077334749
190216.7509667433,553300.1821663909
190211.9600106362,553303.7328938685
190209.56453551937,553305.5082547584
190204.7735776863,553309.0589762523
190202.37810251894,553310.8343408382
190194.14747293026,553316.9325871428
190190.53111614473,553319.6110572257
190179.67307407287,553327.6436644968
190176.05259991653,553330.3165507627
190171.84619727056,553333.4220098811
190167.0202518007,553336.9823407424
190164.6072858778,553338.7625006553
190159.78135678993,553342.3228261524
190156.8047553783,553344.5188042128
190153.46279700226,553349.9939807872
190150.91652317776,553352.28021316
190146.50761753926,553356.0127215938
190140.497294603,553360.7065379202
190138.10649495057,553362.4837497686
190135.70424086854,553364.2694762578
190130.19830564104,553368.4933028545
190128.10235313672,553370.1167448466
190126.00640064033,553371.7401868025
190122.43786256437,553374.8680518136
190122.0479482424,553391.9176005096
190123.74692001333,553394.2656453924
190126.80227682317,553398.4603978874
190127.33145023364,553403.981116556
190131.06136253793,553408.671700051
190132.96016177183,553416.0341078487
190136.4327204297,553420.3934097736
190140.99035373697,553425.875859631
190146.67593654682,553432.7831523494
190150.5843503689,553437.5501525684
190156.17544417336,553439.7576159557
190159.94701457888,553444.4189557879
190163.66065572313,553449.022868279
190165.53165418757,553451.3455058408
