#,H(m),Lat(rad),Long(rad)
Start,38.07940292,0.655842754,2.214697287
Add,37.56065369,0.655849179,2.214685908
Add,37.13785934,0.655853298,2.214680004
Add,36.84562683,0.65585625,2.214675108
Add,36.60393143,0.655858942,2.214670408
Add,36.52196503,0.655861701,2.21466571
Add,36.34794998,0.655868393,2.214654457
Add,36.33692169,0.655871205,2.2146497
Add,36.34508896,0.655874013,2.214644942
Add,36.35219955,0.655876823,2.214640179
Add,36.36988449,0.655879613,2.214635436
Add,36.3228302,0.655882416,2.214630631
Add,36.31371689,0.65588518,2.214625829
Add,36.22726059,0.655888203,2.214621269
Add,36.11344147,0.655890606,2.214617796
Add,35.84792328,0.655895763,2.214617334
Add,35.78965759,0.655900877,2.214621836
Add,35.87998581,0.655904645,2.214625499
Add,35.95024872,0.655908275,2.214629246
Add,35.97015762,0.655911986,2.214632998
Add,36.10386276,0.655915648,2.214636685
Add,36.10270691,0.655919536,2.214640597
Add,36.04114914,0.655923191,2.214644309
Add,36.02348709,0.655928079,2.214650007
Add,36.13441086,0.655928542,2.214659082
Add,36.20993805,0.655926589,2.214664505
Add,36.2557373,0.655924277,2.21466972
Add,36.32732773,0.655921751,2.214674728
Add,36.32810593,0.655919032,2.214679333
Add,36.34979248,0.655915808,2.214684177
Add,36.50453186,0.655912797,2.214688552
Add,36.77745056,0.655906973,2.214695952
Add,36.44750977,0.655902127,2.214695465
Add,36.41917801,0.655898293,2.214692313
Add,36.38682938,0.655894312,2.214689092
Add,36.28353119,0.65589063,2.214685378
Add,36.1847229,0.655886998,2.214681635
Add,36.14221954,0.655883347,2.214677928
Add,36.14709473,0.655879659,2.214674192
Add,36.14263916,0.6558748,2.214669262
Add,36.16972733,0.655869109,2.214663419
Add,36.52388763,0.655859502,2.214664063
Add,36.61951447,0.655856675,2.214668991
Add,36.88100052,0.655853841,2.214673721
Add,37.42493057,0.655849152,2.214682766
Add,36.37110519,0.655849593,2.214694866
Add,35.18599319,0.655853346,2.214698604
Add,34.54915237,0.65585684,2.214702136
Add,34.03688049,0.655860427,2.214705775
Add,33.71642685,0.655864448,2.214709848
Add,33.62381744,0.655867828,2.21471327
Add,33.56443024,0.655871526,2.214717019
Add,33.40261459,0.655875463,2.21472103
Add,33.34209061,0.655880104,2.214725778
Add,33.76076889,0.655887967,2.214727038
Add,34.21705246,0.655891089,2.214722391
Add,34.9341011,0.655894649,2.214717276
Add,35.48692322,0.655897705,2.214712612
Add,36.14084244,0.655901416,2.214706536
Add,36.44984818,0.655901606,2.214696352
Add,36.4210701,0.655897662,2.214692466
Add,36.37789917,0.655893932,2.214688678
Add,36.27246857,0.655890289,2.214684988
Add,36.17729568,0.655886599,2.214681249
Add,36.14044952,0.655882744,2.214677336
Add,36.14888,0.655879231,2.214673766
Add,36.14848709,0.655875428,2.2146699
Add,36.07953262,0.655871728,2.214666131
Add,36.23072433,0.655868582,2.214662885
Add,36.52420425,0.655859478,2.214664106
Add,36.60544586,0.655856916,2.214668599
Add,36.86745834,0.655853994,2.214673539
Add,37.13175964,0.655851359,2.214678021
Add,37.51258469,0.655848089,2.214683617
Add,37.69786072,0.655845349,2.214688343
Add,37.8873558,0.655842426,2.214693378
Add,38.21051788,0.655840477,2.214696714
End,38.96244812,0.655838539,2.214700007
